ID,TIMESTAMP,CONDITION,TRIAL,Q1ANS,Q2ANS,P1SCORE,P2SCORE,GAZE_FOCUS,BrowLowererL,BrowLowererR,CheekPuffL,CheekPuffR,CheekRaiserL,CheekRaiserR,CheekSuckL,CheekSuckR,ChinRaiserB,ChinRaiserT,DimplerL,DimplerR,EyesClosedL,EyesClosedR,EyesLookDownL,EyesLookDownR,EyesLookLeftL,EyesLookLeftR,EyesLookRightL,EyesLookRightR,EyesLookUpL,EyesLookUpR,InnerBrowRaiserL,InnerBrowRaiserR,JawDrop,JawSidewaysLeft,JawSidewaysRight,JawThrust,LidTightenerL,LidTightenerR,LipCornerDepressorL,LipCornerDepressorR,LipCornerPullerL,LipCornerPullerR,LipFunnelerLB,LipFunnelerLT,LipFunnelerRB,LipFunnelerRT,LipPressorL,LipPressorR,LipPuckerL,LipPuckerR,LipStretcherL,LipStretcherR,LipSuckLB,LipSuckLT,LipSuckRB,LipSuckRT,LipTightenerL,LipTightenerR,LipsToward,LowerLipDepressorL,LowerLipDepressorR,MouthLeft,MouthRight,NoseWrinklerL,NoseWrinklerR,OuterBrowRaiserL,OuterBrowRaiserR,UpperLidRaiserL,UpperLidRaiserR,UpperLipRaiserL,UpperLipRaiserR,Max,Invalid,HeartRate,GSR,GSR_CONDUCTANCE
t,2024-01-03-10-33:37:1957,1,-1,-1,-1,71,71,TaskPartner_Head,0.1041199,0.04665857,0,0,0.0933506,0.06504419,0,0,1.401298E-45,1.352757E-14,5.570019E-05,3.552101E-12,0.1484554,0.001212753,0,0,0,0,0.4424119,0.3588023,0.1172139,0.1190697,0.00547467,2.163818E-12,4.459428E-20,1.401298E-45,1.401298E-45,7.69681E-14,0.3104686,0.1732836,0.01086564,1.349882E-18,1.401298E-45,1.401298E-45,0,1.401298E-45,0,0,1.401298E-45,1.401298E-45,1.401298E-45,1.401298E-45,1.401298E-45,1.401298E-45,5.905795E-05,1.401298E-45,5.034883E-05,1.401298E-45,1.401298E-45,1.401298E-45,0.005432821,7.244751E-14,6.431355E-14,1.401298E-45,0,1.401298E-45,1.401298E-45,1.401298E-45,1.401298E-45,1.401298E-45,1.401298E-45,7.080271E-14,6.591203E-14,_,_,0,_,_
t,2024-01-03-10-33:37:2650,1,-1,-1,-1,71,71,TaskPartner_Head,0.06255571,0.02967471,0,0,0.07515573,0.05682819,0,0,1.401298E-45,4.735519E-15,1.625358E-05,1.243463E-12,0.04530469,0.001062005,0,0,0,0,0.4300237,0.3463034,0.09086009,0.09225468,0.004298001,1.223096E-12,1.560993E-20,1.401298E-45,1.401298E-45,2.694391E-14,0.2263316,0.1365903,0.01086564,4.725487E-19,1.401298E-45,1.401298E-45,0,1.401298E-45,0,0,1.401298E-45,1.401298E-45,1.401298E-45,1.401298E-45,1.401298E-45,1.401298E-45,1.732824E-05,1.401298E-45,1.611739E-05,1.401298E-45,1.401298E-45,1.401298E-45,0.005432821,2.53614E-14,2.251398E-14,1.401298E-45,0,1.401298E-45,1.401298E-45,1.401298E-45,1.401298E-45,1.401298E-45,1.401298E-45,2.478562E-14,2.307353E-14,_,_,0,_,_
t,2024-01-03-10-33:37:2953,1,-1,-1,-1,71,71,TaskPartner_Head,0.04015201,0.02059556,0,0,0.07558601,0.05563666,0,0,1.401298E-45,3.337505E-15,1.09905E-05,8.763696E-13,0.0391358,0.0007150177,0,0,0,0,0.4180126,0.3341684,0.07123396,0.0722938,0.004042936,1.011292E-12,1.100144E-20,1.401298E-45,1.401298E-45,1.898958E-14,0.2135152,0.1251584,0.01086564,3.33044E-19,1.401298E-45,1.401298E-45,0,1.401298E-45,0,0,1.401298E-45,1.401298E-45,1.401298E-45,1.401298E-45,1.401298E-45,1.401298E-45,1.173196E-05,1.401298E-45,1.113162E-05,1.401298E-45,1.401298E-45,1.401298E-45,0.005432821,1.787426E-14,1.586745E-14,1.401298E-45,0,1.401298E-45,1.401298E-45,1.401298E-45,1.401298E-45,1.401298E-45,1.401298E-45,1.746846E-14,1.62618E-14,_,_,0,_,_
t,2024-01-03-10-33:37:3387,1,-1,-1,-1,71,71,TaskPartner_Head,0.02779464,0.01470312,0,0,0.06920259,0.05504498,0,0,1.401298E-45,2.352209E-15,7.484233E-06,6.176484E-13,0.037687,0.0004851568,0,0,0,0,0.4180007,0.3341818,0.0503819,0.05113151,0.003834724,8.361658E-13,7.753517E-21,1.401298E-45,1.401298E-45,1.338351E-14,0.2092128,0.1222893,0.01086564,2.347233E-19,1.401298E-45,1.401298E-45,0,1.401298E-45,0,0,1.401298E-45,1.401298E-45,1.401298E-45,1.401298E-45,1.401298E-45,1.401298E-45,7.997537E-06,1.401298E-45,7.714918E-06,1.401298E-45,1.401298E-45,1.401298E-45,0.005432821,1.259745E-14,1.118308E-14,1.401298E-45,0,1.401298E-45,1.401298E-45,1.401298E-45,1.401298E-45,0.008835535,1.401298E-45,1.231144E-14,1.146101E-14,_,_,0,_,_
t,2024-01-03-10-33:37:3986,1,-1,-1,-1,71,71,TaskPartner_Head,0.02975734,0.01314536,0,0,0.07339147,0.05456889,0,0,1.401298E-45,1.168379E-15,3.528749E-06,3.067956E-13,0.03719254,0.0002274952,0,0,0,0,0.3851266,0.3009297,0.01506512,0.01526981,0.003524784,5.716415E-13,3.851229E-21,1.401298E-45,1.401298E-45,6.647806E-15,0.2070086,0.1212339,0.01086564,1.16591E-19,1.401298E-45,1.401298E-45,0,1.401298E-45,0,0,1.401298E-45,1.401298E-45,1.401298E-45,1.401298E-45,1.401298E-45,1.401298E-45,3.776801E-06,1.401298E-45,3.736107E-06,1.401298E-45,1.401298E-45,1.401298E-45,0.005432821,6.257358E-15,5.554819E-15,1.401298E-45,0,1.401298E-45,1.401298E-45,1.401298E-45,1.401298E-45,0.01082595,1.401298E-45,6.115294E-15,5.692871E-15,_,_,0,_,_
t,2024-01-03-10-33:37:4353,1,-1,-1,-1,71,71,TaskPartner_Head,0.0222277,0.01263346,0,0,0.07434579,0.05447419,0,0,1.401298E-45,8.234454E-16,2.438781E-06,2.162221E-13,0.03715609,0.0001569011,0,0,0,0,0.3778008,0.2935195,0.01507035,0.01527076,0.003410194,4.726478E-13,2.714236E-21,1.401298E-45,1.401298E-45,4.685215E-15,0.206741,0.1211482,0.01086564,8.217056E-20,1.401298E-45,1.401298E-45,0,1.401298E-45,0,0,1.401298E-45,1.401298E-45,1.401298E-45,1.401298E-45,1.401298E-45,1.401298E-45,2.611786E-06,1.401298E-45,2.608192E-06,1.401298E-45,1.401298E-45,1.401298E-45,0.005432821,4.410036E-15,3.914904E-15,1.401298E-45,0,1.401298E-45,1.401298E-45,1.401298E-45,1.401298E-45,0.006275542,1.401298E-45,4.309913E-15,4.012199E-15,_,_,0,_,_
t,2024-01-03-10-33:37:4675,1,-1,-1,-1,71,71,TaskPartner_Head,0.01477387,0.009451638,0,0,0.0691705,0.05441895,0,0,1.401298E-45,5.803494E-16,1.691175E-06,1.523894E-13,0.02576809,0.0001086166,0,0,0,0,0.3720515,0.2877069,0.007812042,0.007914158,0.003316021,3.907992E-13,1.912934E-21,1.401298E-45,1.401298E-45,3.302056E-15,0.206619,0.1211163,0.01086564,5.791236E-20,1.401298E-45,1.401298E-45,0,1.401298E-45,0,0,1.401298E-45,1.401298E-45,1.401298E-45,1.401298E-45,1.401298E-45,1.401298E-45,1.81205E-06,1.401298E-45,1.823795E-06,1.401298E-45,1.401298E-45,1.401298E-45,0.005432821,3.108115E-15,2.759154E-15,1.401298E-45,0,1.401298E-45,1.401298E-45,1.401298E-45,1.401298E-45,0.003753191,1.401298E-45,3.03755E-15,2.827727E-15,_,_,0,_,_
t,2024-01-03-10-33:37:5140,1,-1,-1,-1,71,71,TaskPartner_Head,0.01258814,0.007189591,0,0,0.06704464,0.05438579,0,0,1.401298E-45,4.090143E-16,1.176005E-06,1.073999E-13,0.02271922,7.542215E-05,0,0,0,0,0.3702347,0.2858701,0.005673259,0.005747013,0.003238543,3.231218E-13,1.348178E-21,1.401298E-45,1.401298E-45,2.327199E-15,0.2065601,0.100552,0.01086564,4.081505E-20,1.401298E-45,1.401298E-45,0,1.401298E-45,0,0,1.401298E-45,1.401298E-45,1.401298E-45,1.401298E-45,1.401298E-45,1.401298E-45,1.260581E-06,1.401298E-45,1.277017E-06,1.401298E-45,1.401298E-45,1.401298E-45,0.005432821,2.190515E-15,1.944577E-15,1.401298E-45,0,1.401298E-45,1.401298E-45,1.401298E-45,1.401298E-45,0.002305061,1.401298E-45,2.140782E-15,1.992904E-15,_,_,0,_,_
t,2024-01-03-10-33:37:5784,1,-1,-1,-1,71,71,TaskPartner_Head,0.006397723,0.004328115,0,0,0.07240053,0.05435257,0,0,1.401298E-45,2.031637E-16,5.723996E-07,5.334717E-14,0.02147586,0,0.02148819,3.663131E-05,0,0,0.3513969,0.266828,0,0,0.003122185,2.209008E-13,6.696563E-22,1.401298E-45,1.401298E-45,1.155956E-15,0.1904695,0.1269415,0.01086564,2.027348E-20,1.401298E-45,1.401298E-45,0,1.401298E-45,0,0,1.401298E-45,1.401298E-45,1.401298E-45,1.401298E-45,1.401298E-45,1.401298E-45,6.139508E-07,1.401298E-45,6.281007E-07,1.401298E-45,1.401298E-45,1.401298E-45,0.004402588,1.088063E-15,9.659016E-16,1.401298E-45,0,1.401298E-45,1.401298E-45,1.401298E-45,1.401298E-45,0.0009269798,1.401298E-45,1.06336E-15,9.899065E-16,_,_,0,_,_
t,2024-01-03-10-33:37:6134,1,-1,-1,-1,71,71,TaskPartner_Head,0.009930246,0.002710116,0,0,0.07447988,0.06006141,0,0,1.401298E-45,1.009146E-16,2.803947E-07,2.649839E-14,0.0279019,0,0.02786997,1.791762E-05,0,0,0.3400772,0.2553908,0,0,0.003043096,1.510179E-13,3.326275E-22,1.401298E-45,1.401298E-45,5.741821E-16,0.1945211,0.136664,0.01086564,1.007017E-20,1.401298E-45,1.401298E-45,0,1.401298E-45,0,0,1.401298E-45,1.401298E-45,1.401298E-45,1.401298E-45,1.401298E-45,1.401298E-45,3.008784E-07,1.401298E-45,3.098934E-07,1.401298E-45,1.401298E-45,1.401298E-45,0.004942324,5.404584E-16,4.797789E-16,1.401298E-45,0,1.401298E-45,1.401298E-45,1.401298E-45,1.401298E-45,0.0003975877,1.401298E-45,5.281881E-16,4.917025E-16,_,_,0,_,_
t,2024-01-03-10-33:37:6529,1,-1,-1,-1,71,71,TaskPartner_Head,0.007359066,0.002167926,0,0,0.06959435,0.05788323,0,0,1.401298E-45,7.112162E-17,1.965874E-07,1.867527E-14,0.02419684,1.255525E-05,0,0,0,0,0.3360804,0.2513554,0.0002052543,0.0002076457,0.003013594,1.248648E-13,2.344255E-22,1.401298E-45,1.401298E-45,4.046664E-16,0.1875293,0.1284525,0.01086564,7.097154E-21,1.401298E-45,1.401298E-45,0,1.401298E-45,0,0,1.401298E-45,1.401298E-45,1.401298E-45,1.401298E-45,1.401298E-45,1.401298E-45,2.109828E-07,1.401298E-45,2.178536E-07,1.401298E-45,1.401298E-45,1.401298E-45,0.005092589,3.80899E-16,3.381339E-16,1.401298E-45,0,1.401298E-45,1.401298E-45,1.401298E-45,1.401298E-45,0.0002650938,1.401298E-45,3.722513E-16,3.465373E-16,_,_,0,_,_
