Timestamp,TotalGazeTime,IsGazing,EyeClosed,FocusPosition,GazeDirection,LeftEyePosition,RightEyePosition,BallColor,BallScale,TriggerCount,BallToggleCount
2025-05-12 15:29:19,0.82,True,False,"(-7.43, 0.80, -4.00)","(-0.68, -0.18, -0.71)","(-4.34, 1.59, -0.79)","(-4.39, 1.59, -0.75)",Yellow,"(0.05, 0.05, 0.05)",1,0
2025-05-12 15:29:20,1.82,True,False,"(-4.36, 1.37, -0.95)","(0.22, -0.60, -0.77)","(-4.38, 1.56, -0.67)","(-4.45, 1.56, -0.68)",Yellow,"(0.05, 0.05, 0.05)",1,0
2025-05-12 15:29:21,2.83,True,False,"(-0.05, 1.68, -2.76)","(0.95, 0.05, -0.32)","(-4.18, 1.63, -0.47)","(-4.21, 1.63, -0.53)",Yellow,"(0.05, 0.05, 0.05)",1,0
2025-05-12 15:29:22,3.83,True,False,"(-7.38, 2.05, -3.02)","(-0.92, 0.06, -0.38)","(-4.35, 1.63, -0.51)","(-4.39, 1.64, -0.46)",Yellow,"(0.05, 0.05, 0.05)",1,0
2025-05-12 15:29:23,4.83,True,False,"(-8.75, 1.46, -1.61)","(-0.92, 0.00, -0.40)","(-4.38, 1.63, -0.50)","(-4.41, 1.63, -0.44)",Yellow,"(0.05, 0.05, 0.05)",1,0
2025-05-12 15:29:24,5.83,True,False,"(-7.38, 2.27, -4.21)","(-0.57, 0.12, -0.81)","(-4.30, 1.63, -0.50)","(-4.35, 1.63, -0.46)",Yellow,"(0.05, 0.05, 0.05)",1,0
2025-05-12 15:29:25,6.84,True,False,"(-4.58, 1.39, -0.94)","(-0.47, -0.43, -0.77)","(-4.30, 1.63, -0.51)","(-4.36, 1.63, -0.48)",Yellow,"(0.05, 0.05, 0.05)",1,0
2025-05-12 15:29:26,7.84,True,False,"(-6.13, 2.14, -4.26)","(-0.44, 0.12, -0.89)","(-4.31, 1.64, -0.53)","(-4.37, 1.63, -0.50)",Yellow,"(0.05, 0.05, 0.05)",1,0
2025-05-12 15:29:27,8.84,True,False,"(-8.66, 2.05, -4.04)","(-0.82, 0.06, -0.57)","(-4.32, 1.63, -0.55)","(-4.36, 1.63, -0.50)",Yellow,"(0.05, 0.05, 0.05)",1,0
2025-05-12 15:29:28,9.89,True,False,"(-8.61, 1.41, -0.60)","(-1.00, -0.05, 0.02)","(-4.44, 1.63, -0.65)","(-4.45, 1.63, -0.59)",Yellow,"(0.05, 0.05, 0.05)",1,0
2025-05-12 15:29:29,10.91,True,False,"(-8.61, 2.59, 0.60)","(-0.96, 0.18, 0.24)","(-4.37, 1.62, -0.77)","(-4.36, 1.62, -0.70)",Yellow,"(0.05, 0.05, 0.05)",1,0
2025-05-12 15:29:31,11.91,True,False,"(-4.68, 1.44, -1.08)","(-0.51, -0.55, -0.66)","(-4.34, 1.60, -0.80)","(-4.39, 1.60, -0.76)",Yellow,"(0.05, 0.05, 0.05)",1,0
2025-05-12 15:29:32,12.92,True,False,"(-8.44, 0.75, -4.22)","(-0.80, -0.14, -0.58)","(-4.27, 1.62, -0.93)","(-4.31, 1.61, -0.88)",Yellow,"(0.05, 0.05, 0.05)",1,0
2025-05-12 15:29:33,13.92,True,False,"(-8.59, 1.90, -2.50)","(-0.93, 0.06, -0.36)","(-4.31, 1.63, -0.91)","(-4.34, 1.63, -0.85)",Yellow,"(0.05, 0.05, 0.05)",1,0
2025-05-12 15:29:34,14.94,True,False,"(-7.40, 1.98, -3.96)","(-0.61, 0.07, -0.79)","(-4.29, 1.64, -0.93)","(-4.33, 1.63, -0.88)",Yellow,"(0.05, 0.05, 0.05)",1,0
2025-05-12 15:29:35,15.94,True,False,"(-6.64, 1.80, -1.97)","(-0.92, 0.04, -0.39)","(-4.31, 1.64, -0.94)","(-4.35, 1.63, -0.88)",Yellow,"(0.05, 0.05, 0.05)",1,0
2025-05-12 15:29:36,16.94,True,False,"(-6.55, 1.77, -1.86)","(-0.92, 0.07, -0.39)","(-4.32, 1.63, -0.94)","(-4.36, 1.63, -0.89)",Yellow,"(0.05, 0.05, 0.05)",1,0
2025-05-12 15:29:37,17.96,True,False,"(-6.56, 1.79, -1.83)","(-0.92, 0.06, -0.38)","(-4.32, 1.63, -0.94)","(-4.35, 1.63, -0.88)",Yellow,"(0.05, 0.05, 0.05)",1,0
2025-05-12 15:29:38,18.97,True,False,"(-2.47, 2.09, -4.11)","(0.60, 0.13, -0.79)","(-4.20, 1.64, -0.96)","(-4.25, 1.63, -0.99)",Yellow,"(0.05, 0.05, 0.05)",1,0
