Timestamp,TotalGazeTime,IsGazing,EyeClosed,FocusPosition,GazeDirection,LeftEyePosition,RightEyePosition,BallColor,TriggerCount,BallToggleCount
Timestamp,TotalGazeTime,IsGazing,EyeClosed,FocusPosition,GazeDirection,LeftEyePosition,RightEyePosition,BallColor,TriggerCount,BallToggleCount
2025-04-12 19:14:19,0.00,False,False,"None","(0.00, 0.00, 0.11)","(0.14, -0.28, -7.98)","(0.14, -0.28, -7.98)",Yellow,0,0
2025-04-12 19:14:19,0.00,False,False,"None","(0.00, 0.00, 0.11)","(2.06, -0.31, -8.12)","(2.06, -0.31, -8.12)",Yellow,0,0
2025-04-12 19:14:20,0.00,False,False,"None","(0.00, 0.00, 1.00)","(0.14, -0.28, -7.98)","(0.14, -0.28, -7.98)",Yellow,0,0
2025-04-12 19:14:20,0.00,False,False,"None","(0.00, 0.00, 1.00)","(2.06, -0.31, -8.12)","(2.06, -0.31, -8.12)",Yellow,0,0
2025-04-12 19:14:20,0.04,True,False,"(0.17, 1.50, -8.78)","(-0.59, -0.49, 0.64)","(0.10, 1.08, -8.10)","(0.03, 1.09, -8.09)",Yellow,1,0
2025-04-12 19:14:20,0.00,False,False,"None","(0.00, 0.00, 1.00)","(2.06, -0.31, -8.12)","(2.06, -0.31, -8.12)",Yellow,0,0
2025-04-12 19:14:20,0.12,True,False,"(-0.22, 0.96, -8.67)","(-0.62, -0.54, -0.57)","(0.10, 1.08, -8.10)","(0.04, 1.08, -8.09)",Yellow,1,0
2025-04-12 19:14:20,0.00,False,False,"None","(0.00, 0.00, 1.00)","(2.06, -0.31, -8.12)","(2.06, -0.31, -8.12)",Yellow,0,0
2025-04-12 19:14:20,0.15,True,False,"(-0.36, 0.78, -8.71)","(-0.52, -0.46, -0.72)","(0.10, 1.08, -8.10)","(0.04, 1.08, -8.09)",Yellow,1,0
2025-04-12 19:14:20,0.00,False,False,"None","(0.00, 0.00, 1.00)","(2.06, -0.31, -8.12)","(2.06, -0.31, -8.12)",Yellow,0,0
2025-04-12 19:14:20,0.18,True,False,"(-0.40, 0.72, -8.75)","(-0.46, -0.41, -0.79)","(0.10, 1.08, -8.10)","(0.04, 1.08, -8.09)",Yellow,1,0
2025-04-12 19:14:20,0.00,False,False,"None","(0.00, 0.00, 1.00)","(2.06, -0.31, -8.12)","(2.06, -0.31, -8.12)",Yellow,0,0
2025-04-12 19:14:20,0.21,True,False,"(-0.41, 0.69, -8.82)","(-0.39, -0.35, -0.85)","(0.10, 1.08, -8.10)","(0.04, 1.09, -8.09)",Yellow,1,0
2025-04-12 19:14:20,0.00,False,False,"None","(0.00, 0.00, 1.00)","(2.06, -0.31, -8.12)","(2.06, -0.31, -8.12)",Yellow,0,0
2025-04-12 19:14:20,0.24,True,False,"(-0.39, 0.69, -8.87)","(-0.35, -0.31, -0.88)","(0.10, 1.08, -8.10)","(0.04, 1.09, -8.09)",Yellow,1,0
2025-04-12 19:14:20,0.00,False,False,"None","(0.00, 0.00, 1.00)","(2.06, -0.31, -8.12)","(2.06, -0.31, -8.12)",Yellow,0,0
2025-04-12 19:14:20,0.28,True,False,"(-0.44, 0.64, -9.16)","(-0.31, -0.27, -0.91)","(0.10, 1.08, -8.10)","(0.04, 1.09, -8.09)",Yellow,1,0
2025-04-12 19:14:20,0.00,False,False,"None","(0.00, 0.00, 1.00)","(2.06, -0.31, -8.12)","(2.06, -0.31, -8.12)",Yellow,0,0
2025-04-12 19:14:20,0.31,True,False,"(-0.51, 0.58, -9.53)","(-0.28, -0.25, -0.93)","(0.10, 1.08, -8.10)","(0.04, 1.09, -8.09)",Yellow,1,0
2025-04-12 19:14:20,0.00,False,False,"None","(0.00, 0.00, 1.00)","(2.06, -0.31, -8.12)","(2.06, -0.31, -8.12)",Yellow,0,0
2025-04-12 19:14:20,0.33,True,False,"(-0.55, 0.54, -9.82)","(-0.26, -0.23, -0.94)","(0.10, 1.08, -8.10)","(0.04, 1.09, -8.09)",Yellow,1,0
2025-04-12 19:14:20,0.00,False,False,"None","(0.00, 0.00, 1.00)","(2.06, -0.31, -8.12)","(2.06, -0.31, -8.12)",Yellow,0,0
2025-04-12 19:14:20,0.36,True,False,"(-0.58, 0.52, -10.03)","(-0.25, -0.22, -0.94)","(0.10, 1.08, -8.10)","(0.04, 1.09, -8.09)",Yellow,1,0
2025-04-12 19:14:20,0.00,False,False,"None","(0.00, 0.00, 1.00)","(2.06, -0.31, -8.12)","(2.06, -0.31, -8.12)",Yellow,0,0
2025-04-12 19:14:20,0.38,True,False,"(-0.58, 0.52, -10.21)","(-0.24, -0.20, -0.95)","(0.10, 1.08, -8.10)","(0.04, 1.09, -8.09)",Yellow,1,0
2025-04-12 19:14:20,0.00,False,False,"None","(0.00, 0.00, 1.00)","(2.06, -0.31, -8.12)","(2.06, -0.31, -8.12)",Yellow,0,0
2025-04-12 19:14:20,0.41,True,False,"(-0.58, 0.52, -10.34)","(-0.23, -0.19, -0.95)","(0.10, 1.08, -8.10)","(0.04, 1.09, -8.09)",Yellow,1,0
2025-04-12 19:14:20,0.00,False,False,"None","(0.00, 0.00, 1.00)","(2.06, -0.31, -8.12)","(2.06, -0.31, -8.12)",Yellow,0,0
2025-04-12 19:14:20,0.45,True,False,"(-0.55, 0.55, -10.45)","(-0.22, -0.18, -0.96)","(0.10, 1.08, -8.10)","(0.04, 1.09, -8.09)",Yellow,1,0
2025-04-12 19:14:20,0.00,False,False,"None","(0.00, 0.00, 1.00)","(2.06, -0.31, -8.12)","(2.06, -0.31, -8.12)",Yellow,0,0
2025-04-12 19:14:20,0.48,True,False,"(-0.53, 0.57, -10.50)","(-0.20, -0.18, -0.96)","(0.10, 1.08, -8.10)","(0.04, 1.09, -8.09)",Yellow,1,0
2025-04-12 19:14:20,0.00,False,False,"None","(0.00, 0.00, 1.00)","(2.06, -0.31, -8.12)","(2.06, -0.31, -8.12)",Yellow,0,0
2025-04-12 19:14:20,0.51,True,False,"(-0.50, 0.59, -10.53)","(-0.18, -0.18, -0.97)","(0.10, 1.08, -8.10)","(0.04, 1.09, -8.09)",Yellow,1,0
2025-04-12 19:14:20,0.00,False,False,"None","(0.00, 0.00, 1.00)","(2.06, -0.31, -8.12)","(2.06, -0.31, -8.12)",Yellow,0,0
2025-04-12 19:14:20,0.54,True,False,"(-0.47, 0.59, -10.55)","(-0.16, -0.21, -0.96)","(0.10, 1.08, -8.10)","(0.04, 1.09, -8.09)",Yellow,1,0
