Timestamp,TotalGazeTime,BlueTriggerCount,BallToggleCount
2025-01-06 15:41:13,5.01,1,0
2025-01-06 15:41:22,14.02,2,0
2025-01-06 15:41:31,23.03,3,0
2025-01-06 15:41:36,27.62,3,1
2025-01-06 15:41:40,31.55,3,2
2025-01-06 15:41:40,32.03,4,2
2025-01-06 15:41:46,38.06,4,3
2025-01-06 15:41:49,41.04,5,3
2025-01-06 15:41:50,41.89,5,4
2025-01-06 15:41:56,47.69,5,5
2025-01-06 15:41:58,50.05,6,5
2025-01-06 15:42:06,58.41,6,6
2025-01-06 15:42:07,59.06,7,6
2025-01-06 15:42:16,68.06,8,6
2025-01-06 15:42:25,77.07,9,6
2025-01-06 15:42:28,80.43,9,7
2025-01-06 15:42:34,86.05,9,8
2025-01-06 15:42:34,86.08,10,8
2025-01-06 15:42:43,95.09,11,8
2025-01-06 15:42:45,96.73,11,9
2025-01-06 15:42:48,100.25,11,10
2025-01-06 15:42:52,104.09,12,10
2025-01-06 15:42:53,105.00,12,11
2025-01-06 15:42:59,110.85,12,12
2025-01-06 15:43:01,113.10,13,12
2025-01-06 15:43:10,122.11,14,12
2025-01-06 15:43:12,124.32,14,13
2025-01-06 15:43:19,131.12,15,13
2025-01-06 15:43:23,135.01,15,14
2025-01-06 15:43:28,140.12,16,14
2025-01-06 15:43:37,149.13,17,14
