Timestamp,TotalGazeTime,IsGazing,EyeClosed,FocusPosition,BallColor,BallScale,TriggerCount,BallToggleCount
2025-04-09 15:14:01,0.77,True,False,"(2.18, 1.59, -10.58)",Yellow,"(0.05, 0.05, 0.05)",0,0
2025-04-09 15:14:02,1.77,True,False,"(1.61, 1.05, -9.19)",Yellow,"(0.05, 0.05, 0.05)",0,0
2025-04-09 15:14:03,2.77,True,False,"(1.52, 0.61, -8.89)",Yellow,"(0.05, 0.05, 0.05)",0,0
2025-04-09 15:14:04,3.77,True,False,"(1.17, 0.39, -8.70)",Yellow,"(0.05, 0.05, 0.05)",0,0
2025-04-09 15:14:05,4.78,True,False,"(1.35, 0.42, -8.72)",Yellow,"(0.05, 0.05, 0.05)",0,0
2025-04-09 15:14:07,5.80,True,False,"(1.32, 0.61, -8.88)",Blue,"(0.08, 0.08, 0.08)",1,0
2025-04-09 15:14:08,6.80,True,False,"(1.19, 0.51, -8.80)",Blue,"(0.08, 0.08, 0.08)",1,0
2025-04-09 15:14:09,7.81,True,False,"(1.43, 0.43, -8.73)",Blue,"(0.08, 0.08, 0.08)",1,0
2025-04-09 15:14:10,8.83,True,False,"(0.89, 0.43, -8.73)",Blue,"(0.08, 0.08, 0.08)",1,0
2025-04-09 15:14:11,9.84,True,False,"(1.26, 0.58, -8.86)",Yellow,"(0.05, 0.05, 0.05)",1,0
2025-04-09 15:14:12,10.85,True,False,"(1.40, 0.62, -10.58)",Yellow,"(0.05, 0.05, 0.05)",1,0
2025-04-09 15:14:13,11.86,True,False,"(2.13, 1.04, -9.02)",Yellow,"(0.05, 0.05, 0.05)",1,0
2025-04-09 15:14:14,12.87,True,False,"(3.68, 0.12, -9.44)",Yellow,"(0.05, 0.05, 0.05)",1,0
2025-04-09 15:14:15,13.87,True,False,"(3.36, 1.22, -9.39)",Yellow,"(0.05, 0.05, 0.05)",1,0
2025-04-09 15:14:16,14.87,True,False,"(2.94, 0.85, -8.51)",Blue,"(0.08, 0.08, 0.08)",2,0
2025-04-09 15:14:17,15.88,True,False,"(2.09, 0.86, -7.78)",Blue,"(0.08, 0.08, 0.08)",2,0
2025-04-09 15:14:18,16.88,True,False,"(2.59, 0.97, -9.78)",Blue,"(0.08, 0.08, 0.08)",2,0
